"question","answer"
"Quelle unité de production permet de transformer le naphta à faible indice d'octane ?","L'unité de reformage catalytique."
"Pourquoi le processus de distillation est-il séparé en une phase ""atmosphérique"" et une phase ""sous vide"" ?","Parce que la distillation atmosphérique sépare les fractions légères à pression normale, tandis que la distillation sous vide permet d'extraire les fractions lourdes à plus basse température pour éviter leur dégradation."
"Après la distillation, quels produits intermédiaires nécessitent un traitement additionnel ?","Le naphta et le kérosène."
"Quel est le principal produit lourd extrait à la fin du processus de distillation ?","Le fuel oil (fioul)."
"Pourquoi l'indice d'octane est-il une caractéristique essentielle pour l'essence ?","Parce qu'il mesure la résistance du carburant à l'auto-inflammation (cliquetis) et détermine la qualité de sa combustion."
"Quelle est la capacité de traitement annuelle combinée des unités de la SAR ?","Environ 1,5 million de tonnes par an actuellement."
"Comment les différentes unités de la SAR garantissent-elles la conformité des produits aux normes internationales ?","En appliquant des procédés comme le traitement Mérox et le reformage catalytique pour respecter les standards mondiaux."
"Quels équipements spécifiques sont surveillés par le service Inspection de la SAR ?","Les équipements sous pression statiques ainsi que les réservoirs de stockage."
"Quel est le rôle du Comité d’Hygiène, de Sécurité et des Conditions de Travail (CHS-CT) au sein de la SAR ?","Il participe activement au management des risques et à la mise en œuvre des actions de prévention."
"En quoi le signalement et l'analyse des accidents sont-ils cruciaux pour la SAR ?","Cela permet de tirer des leçons pour déployer des actions correctives efficaces et éviter que les incidents ne se reproduisent."
"Par quels moyens la SAR assure-t-elle la sûreté de son patrimoine matériel ?","Par un dispositif incluant la vidéosurveillance, le contrôle strict des accès et la prévention des actes de malveillance."
"Quels scénarios de risques environnementaux sont simulés lors des exercices de la SAR ?","Les pollutions marines et les pollutions des sols par les hydrocarbures."
"Comment la SAR collabore-t-elle avec les forces de défense et de sécurité nationales ?","En coordonnant la gestion des risques et en organisant des exercices d'urgence conjoints, comme la simulation d'attaques terroristes."
"Dans quel but des exercices de Plan d’Opération Interne (POI) sont-ils organisés à la SAR ?","Pour simuler des scénarios de crise comme des incendies et tester la réactivité des équipes internes et des services de secours."
"Quelle politique de gestion la SAR applique-t-elle pour les déchets issus de ses activités ?","Elle a mis en place un tri sélectif et mène des actions de sensibilisation pour les déchets solides et dangereux."
"Comment la SAR maîtrise-t-elle l'impact environnemental de ses nouveaux projets ?","En intégrant la dimension environnementale dès la phase de conception des projets."
"Quel service est responsable de la salubrité des locaux et des abords de l'usine ?","Le service Environnement."
"Quelle est la principale expertise du laboratoire de la SAR ?","Il capitalise sur une longue expérience dans l'analyse des produits pétroliers."
"Le laboratoire de la SAR peut-il analyser des échantillons provenant de l'extérieur ?","Oui, il peut analyser ceux des dépôts pétroliers ou des cabinets d’expertise nationaux et sous-régionaux."
"Quels sont les objectifs fondamentaux du laboratoire de la SAR ?","Produire des résultats d'analyse qui soient fiables, rapides et au meilleur coût."
"Quels paramètres physico-chimiques des eaux rejetées sont contrôlés par le laboratoire ?","Leurs caractéristiques sont analysées pour s'assurer qu'elles respectent la conformité environnementale."
"À quelles normes internationales le carburéacteur Jet A-1 doit-il se conformer ?","Aux standards mondiaux de carburant pour l’aviation civile."
"Comment le laboratoire contribue-t-il à la bonne réputation de la SAR ?","En certifiant la conformité et la qualité des produits mis sur le marché."
"Quel type de technologie le laboratoire de la SAR utilise-t-il pour ses analyses ?","Des instruments de pointe pour les analyses physico-chimiques."
"Quel est le rôle de la norme ISO 17025:2017 pour le laboratoire de la SAR ?","Elle encadre la compétence technique et garantit la fiabilité des résultats d’analyses."
"En plus des eaux de rejet, quelles autres catégories d'eaux le laboratoire analyse-t-il ?","Les eaux de process, qui sont utilisées directement dans la production."
"De quelle manière le laboratoire de la SAR soutient-il ses clients ?","En leur offrant des services d'analyses et de certification pour leurs propres produits pétroliers."
"Qu'entend-on par ""produits bruts"" à la SAR ?","Ce sont les matières premières issues du raffinage initial, avant leur transformation en produits finis."
"Quelle est la gamme de produits finis proposée par la SAR à ses clients ?","Des carburants, des lubrifiants, des produits chimiques spécifiques et d'autres produits raffinés."
"Quelle est l'utilité principale des lubrifiants commercialisés par la SAR ?","Parce qu’ils réduisent l’usure et améliorent la performance des moteurs."
"Quels sont les principaux avantages de la certification ISO 9001 pour une entreprise ?","Elle offre une garantie de qualité dans les processus de production et les produits finis."
"Quelle certification atteste de la maîtrise des impacts environnementaux par la SAR ?","La certification ISO 14001."
"Quelle norme internationale concerne la gestion de la santé et de la sécurité au travail ?","La norme ISO 45001."
"Comment les certifications ISO renforcent-elles la compétitivité de la SAR ?","Elles démontrent son respect des standards internationaux, ce qui rassure les clients et partenaires."
"Quel est l'intérêt pour la SAR d'obtenir plusieurs certifications (ISO 9001, 14001, 45001) ?","Cela permet d'assurer une gestion intégrée de la qualité, de l'environnement et de la sécurité."
"Pour quelle raison la SAR se réfère-t-elle au système comptable SYSCOHADA ?","Parce qu’en plus des normes ISO, elle applique les normes comptables communes aux pays d'Afrique de l'Ouest."
"Pour un client, quel est le principal avantage d'acheter un produit certifié ?","Il a la garantie que le produit est conforme, sûr et performant."
"Avec quels partenaires institutionnels la SAR collabore-t-elle pour ses tests de sûreté ?","La Marine nationale, la Haute Autorité chargée de la coordination de la Sécurité maritime (HAASMAR) et la Direction de l’Environnement et des Établissements Classés (DEEC)."
"Qu'est-ce qu'un Plan d'Opération Interne (POI) dans le contexte de la SAR ?","Un dispositif de gestion d’urgence qui permet de simuler et de se préparer à des scénarios de crise comme les incendies ou les pollutions."
"Pourquoi la SAR suit-elle l'indicateur des ""jours sans accident"" ?","Pour mesurer et valoriser ses performances en matière de sécurité au travail."
"Quel est l'objectif des audits et contrôles menés par la Direction de l'Audit et du Contrôle (DAC) ?","Évaluer et améliorer en continu le respect des normes internes et internationales."
"Quels types de risques spécifiques sont ciblés par les exercices de simulation de pollution ?","Les déversements d'hydrocarbures sur le sol et en mer."
"Comment la SAR garantit-elle sa conformité avec la législation en vigueur ?","En appliquant strictement les dispositions légales et réglementaires dans son système de management."
"Quels bénéfices les employés de la SAR retirent-ils des exercices de simulation d'urgence ?","Une meilleure préparation face aux risques et un renforcement de la culture de sécurité."
"Quels résultats la SAR attend-elle de son approche basée sur la gestion des risques ?","Assurer une exploitation sécurisée de ses installations et prévenir activement les accidents."
"Quelle importance la SAR accorde-t-elle à la responsabilité sociétale (RSE) ?","Elle lui accorde une place centrale, en menant des actions sociales et environnementales concrètes."
"Pour quelles raisons la SAR met-elle en avant le principe de l'amélioration continue ?","Pour rester compétitive et assurer sa pérennité dans un secteur énergétique en constante évolution."
"Quand la raffinerie SAR a-t-elle commencé à fonctionner ?","En 1963, avec un démarrage effectif des opérations le 31 octobre."
"Quelle personnalité politique a présidé l'inauguration de la SAR en 1964 ?","Le Président Léopold Sédar Senghor."
"Quelle est la capacité de traitement annuelle actuelle de la SAR ?","Elle atteint aujourd'hui 1,5 million de tonnes par an."
"Quels produits raffinés par la SAR sont essentiels à la vie quotidienne au Sénégal ?","Le gaz butane, l’essence, le pétrole lampant et le gasoil."
"Pourquoi dit-on que la SAR est un pilier de la sécurité énergétique du Sénégal ?","Parce qu’elle assure un approvisionnement continu et fiable en hydrocarbures sur le marché national."
"Comment la SAR résume-t-elle sa mission principale ?","Approvisionner régulièrement le marché sénégalais en produits pétroliers de qualité, au moindre coût."
"Quel est le lien entre la SAR et le projet pétrolier Sangomar ?","La SAR doit adapter ses installations pour pouvoir raffiner le futur brut extrait du gisement de Sangomar."
"Sur quelle superficie les installations de la SAR sont-elles implantées ?","Sur environ 32 hectares."
"Quelle était la capacité de raffinage de la SAR lors de sa création ?","Sa capacité initiale était de 600 000 tonnes par an."
"De quelle manière la SAR contribue-t-elle aux transformations sociales du Sénégal ?","En participant au développement économique et social du pays grâce à la disponibilité de l'énergie."
"Quel est le statut de la SAR à l'échelle de l'Afrique de l’Ouest ?","Elle est considérée comme la doyenne des raffineries de la région et un acteur stratégique."
"Par quel moyen la SAR communique-t-elle avec le grand public ?","Principalement via sa plateforme en ligne, où elle invite au partage de suggestions et publie ses actualités."
"Quel produit de la SAR est stratégique pour le secteur de l'aviation ?","Le carburéacteur Jet A-1."
"Pourquoi qualifie-t-on la SAR d'outil stratégique national ?","Parce qu'elle sécurise l'approvisionnement en énergie du pays et soutient sa croissance économique."
"Quel produit de la SAR est indispensable pour la cuisson domestique ?","Le gaz butane."
"Quel produit raffiné est encore utilisé pour l'éclairage traditionnel ?","Le pétrole lampant."
"Quels sont les principaux partenaires institutionnels de la SAR au Sénégal ?","Le Ministère de l’Énergie, PETROSEN (la société des pétroles du Sénégal) et le COS-Petrogaz."
"Quels sont les principaux bénéfices économiques de la SAR pour le Sénégal ?","La sécurité énergétique, la création d'emplois, le développement de compétences et des contributions sociales."
"Citez les cinq valeurs fondamentales de la SAR.","Sécurité, intégrité et éthique, esprit d’équipe, sens des responsabilités et performance."
"Comment la SAR définit-elle la sécurité en tant que valeur d'entreprise ?","Comme une priorité absolue à tous les niveaux, visant à protéger les personnes et les biens."
"Pourquoi l'intégrité est-elle une valeur cruciale pour la SAR ?","Parce qu'elle garantit la confiance des partenaires et bannit toute forme de fraude ou de compromission."
"Comment l'esprit d'équipe se manifeste-t-il au quotidien à la SAR ?","Par la coopération de tous les collaborateurs pour atteindre les objectifs collectifs fixés."
"Que signifie avoir le sens des responsabilités à la SAR ?","Cela signifie que chaque collaborateur doit répondre de ses actes et de leurs impacts."
"Sur quels principes la SAR base-t-elle son évaluation de la performance ?","Sur une culture du résultat et une démarche d'amélioration continue."
"Pourquoi la transparence est-elle une exigence fondamentale de la gouvernance d'entreprise ?","Parce qu'elle renforce la confiance des partenaires et du public."
"Comment la responsabilité sociétale est-elle concrètement intégrée à la gouvernance de la SAR ?","À travers la mise en œuvre de projets sociaux et environnementaux, et par une communication ouverte."
"À quels risques majeurs une entreprise sans culture éthique s'expose-t-elle ?","À une perte de crédibilité, à des risques juridiques et à des accidents industriels."
"Quelle valeur fondamentale est essentielle pour favoriser la cohésion interne au sein de la SAR ?","L'esprit d'équipe."
"Pourquoi est-il crucial d'associer la performance à l'amélioration continue ?","Parce que l'exigence de progrès constant est ce qui conditionne la compétitivité de l'entreprise."
"Comment les valeurs de la SAR influencent-elles sa stratégie globale ?","Elles guident les choix en matière d'investissement et de gestion."
"Quels sont les bénéfices concrets d'une culture d'entreprise fortement éthique ?","Elle instaure un climat de confiance et de stabilité organisationnelle."
"Quelle place la SAR accorde-t-elle à la responsabilité sociale dans ses activités ?","Elle lui accorde une place centrale, visible dans ses actions et sa gouvernance."
"Dans quel but la SAR cultive-t-elle la transparence dans ses relations avec ses partenaires ?","Pour entretenir la confiance et bâtir des relations durables."
"Quel est le lien entre les valeurs d'une entreprise comme la SAR et la sécurité énergétique du pays ?","Les valeurs comme la fiabilité et la responsabilité soutiennent le rôle de la SAR en tant que fournisseur d'énergie fiable."
"Pourquoi une entreprise a-t-elle intérêt à communiquer sur ses valeurs ?","Pour que chaque collaborateur et partenaire connaisse les principes directeurs et les repères de l'entreprise."
"Quelle valeur impose une vigilance de tous les instants à la SAR ?","La sécurité."
"De quelle manière l'éthique protège-t-elle l'image et la réputation de la SAR ?","En empêchant et en proscrivant tout acte compromettant ou frauduleux."
"Quelle unité de production est utilisée pour séparer les fractions légères du pétrole brut ?","L'unité de distillation atmosphérique."
"Quel est l'objectif de la distillation sous vide dans le processus de raffinage ?","Extraire les fractions lourdes du pétrole sans les dégrader par une chaleur excessive."
"Citez les principaux produits obtenus directement à l'issue de l'étape de distillation.","Le butane, l'essence, le naphta, le kérosène, le gasoil et le fuel."
"Quel produit intermédiaire est transformé par l'unité Mérox pour obtenir du carburant d'aviation ?","Le kérosène est traité pour devenir du carburéacteur Jet A-1."
"Pourquoi le procédé de reformage catalytique est-il si important pour la production d'essence ?","Parce qu'il permet d'augmenter significativement l'indice d’octane du naphta."
"Quelle est la capacité de traitement horaire de l'unité de distillation de la SAR ?","Environ 180 tonnes par heure."
"Quelle est la capacité de traitement de l'unité de reformage catalytique ?","Environ 18 tonnes par heure."
"Quels sont les principaux produits lourds issus du processus de distillation ?","Le gasoil total et le fuel oil."
"Pour quelle raison le butane peut-il être commercialisé directement après la distillation ?","Parce qu'il répond déjà aux spécifications commerciales requises sans traitement supplémentaire."
"Quel est le lien de transformation entre le naphta et l'essence à haute performance ?","Le naphta est la matière première qui, une fois traitée par reformage catalytique, produit une essence performante."
"Pourquoi la distillation est-elle considérée comme une étape clé du raffinage ?","Parce qu'elle est la première étape de séparation qui conditionne tous les traitements ultérieurs."
"Quels sont les principaux débouchés industriels pour le fuel oil ?","Les centrales thermiques et l'industrie lourde."
"En quoi l'unité Mérox est-elle stratégique pour le secteur du transport aérien ?","Parce qu'elle garantit la production d'un carburant aviation qui respecte les spécifications internationales très strictes."
"Comment la SAR démontre-t-elle sa maîtrise technologique ?","Grâce à l'opération d'unités complexes et performantes comme celle du reformage catalytique."
"Pourquoi est-il indispensable de séparer le pétrole brut en différentes fractions ?","Pour obtenir des produits finis directement utilisables avec des propriétés spécifiques."
"Quel est le principal intérêt industriel du reformat obtenu par reformage catalytique ?","Il permet de fournir une base d'essence à très haut indice d'octane."
"Pourquoi l'unité Mérox est-elle indispensable à la production de kérosène ?","Car elle garantit que le carburant pour avion produit est conforme aux normes de sécurité et de qualité."
"Quel produit raffiné par la SAR est vital pour le transport routier au Sénégal ?","Le gasoil."
"Quels produits de la SAR sont essentiels à la consommation énergétique des ménages sénégalais ?","Le gaz butane (pour la cuisson) et le pétrole lampant (pour l'éclairage)."
"Pourquoi la SAR insiste-t-elle sur la conformité internationale de ses produits ?","Parce que ses carburants, comme le Jet A-1, doivent respecter des normes mondiales pour être commercialisables."
"Comment la SAR garantit-elle la qualité constante de ses produits ?","Grâce à la performance de ses unités de traitement et au contrôle qualité rigoureux de son laboratoire."
"Quel est l'avantage pour une raffinerie de posséder plusieurs unités de traitement spécialisées ?","Cela permet de diversifier la gamme de produits finis et de répondre précisément aux différents besoins du marché."
"Quels sont les principaux avantages du procédé de reformage catalytique ?","Il permet d'accroître la valeur du naphta et de produire des carburants plus performants et plus propres."
"Pourquoi la distillation est-elle souvent qualifiée d'étape fondamentale du raffinage ?","Parce qu'elle constitue le point de départ de tout le processus de transformation du pétrole brut."
"Quels produits de la SAR sont particulièrement stratégiques pour le secteur industriel ?","Le fuel et le gasoil lourd."
"Pour quelles raisons la SAR continue-t-elle d'investir dans ses unités de production ?","Pour accroître sa capacité, améliorer son efficacité et répondre aux nouveaux défis technologiques et environnementaux."
"Quel est le rôle du laboratoire dans le processus de production de la raffinerie ?","Il certifie la conformité de chaque produit fini aux spécifications requises avant sa mise sur le marché."
"Quelles sont les dates clés des débuts de la SAR, de sa création à son inauguration officielle ?","La SAR a été créée en 1961, a démarré ses activités le 31 octobre 1963, et a été officiellement inaugurée le 27 janvier 1964."
"Quelle est la mission principale de la SAR sur le marché sénégalais ?","Assurer un approvisionnement régulier du marché sénégalais en produits pétroliers de qualité, au meilleur coût, afin de contribuer à la sécurité énergétique du pays."
"Sur quelle superficie les installations de la SAR s'étendent-elles ?","Les installations de la SAR couvrent une superficie de 32 hectares."
"Comment la capacité de traitement de la SAR a-t-elle évolué entre sa création et aujourd'hui ?","Elle est passée d'une capacité initiale de 600 000 tonnes à 1 500 000 tonnes par an aujourd'hui."
"Quelle est la gamme de produits pétroliers que la SAR fournit au marché sénégalais ?","Elle fournit du gaz butane, de l'essence super et ordinaire, du kérosène, du pétrole lampant, du gasoil, du diesel oil et du fuel oil."
"Quel nouveau défi industriel majeur la SAR se prépare-t-elle à relever ?","Le traitement du brut sénégalais issu du gisement de Sangomar, ce qui nécessite des adaptations techniques, technologiques et logistiques."
"Quelles qualités de gouvernance la SAR met-elle en avant ?","La transparence, la responsabilité sociale, l'exigence de qualité et la sécurité."
"Quel message la SAR adresse-t-elle aux visiteurs de sa plateforme en ligne ?","Elle présente sa plateforme comme une porte ouverte sur ses activités et invite aux suggestions pour une amélioration continue."
"Comment la SAR définit-elle le processus de raffinage du pétrole ?","Comme un procédé industriel qui sépare et transforme le pétrole brut, inutilisable en l'état, en produits finis exploitables."
"Quelles sont les deux sous-unités qui composent l'unité de distillation de la SAR ?","L'unité de distillation atmosphérique et l'unité de distillation sous vide."
"Quels produits de base peut-on obtenir directement de l'unité de distillation ?","Du butane commercialisable, de l'essence légère, du naphta, du kérosène, du gasoil total et du fuel (fioul)."
"Quelle est la fonction de l'unité Mérox au sein de la raffinerie ?","Elle transforme le kérosène issu de la distillation en carburéacteur (JET A-1) conforme à des spécifications très précises."
"Quel est le rôle principal de l'unité de reformage catalytique ?","Augmenter l'indice d'octane du naphta pour produire un reformat, une base d'essence à haute performance."
"Quelle est la capacité de traitement nominale de l'unité de reformage catalytique ?","Approximativement 18 tonnes par heure."
"Quels sont les objectifs industriels de la SAR concernant le traitement du brut local de Sangomar ?","Adapter ses installations et ses processus pour pouvoir traiter ce brut tout en garantissant la qualité des produits finis."
"Comment les unités de production de la SAR contribuent-elles à l'approvisionnement du marché sénégalais ?","Elles produisent des coupes et des carburants conformes aux normes pour le marché local, assurant ainsi la continuité et la qualité de l'offre."
"Donnez un exemple de produit intermédiaire et de produit fini issus des unités de la SAR.","Produit intermédiaire : le naphta. Produit fini : le carburéacteur (JET A-1) ou l'essence à haut indice d'octane."
"Pourquoi le respect des spécifications est-il un enjeu majeur pour les carburants produits ?","Pour garantir leur performance et leur sécurité, il est impératif de respecter les spécifications nationales et internationales."
"Que signifie le terme ""fioul"" (feoul) dans le contexte du raffinage ?","Il s'agit du fuel oil, une fraction lourde du pétrole utilisée comme combustible pour les chaudières et les moteurs industriels."
"Quelle est la mission générale du Département Sécurité et Contrôle de la SAR ?","Protéger les personnes, assurer l'intégrité des équipements, veiller au respect de l'environnement et garantir la sûreté du patrimoine."
"Quel est le périmètre d'intervention de la mission sécurité de la SAR ?","Elle couvre la raffinerie de Mbao ainsi que ses installations annexes, comme les sea-lines et les pipelines."
"Citez deux responsabilités fondamentales du Service Sécurité de la SAR.","Évaluer et maîtriser les risques liés aux activités, et surveiller les travaux pour prévenir les incidents et accidents."
"Quels types de documents et de procédures sont gérés par le Service Sécurité ?","Les consignes de sécurité, le plan d'urgence (POI) et les permis de travail."
"Quel est le rôle principal de la Cellule Environnement de la SAR ?","Maîtriser les impacts environnementaux liés à l'exploitation de la raffinerie et à ses nouveaux projets."
"Quelles sont les trois missions clés du service Inspection ?","L'inspection des équipements, le contrôle qualité des travaux neufs et la réalisation d'expertises techniques."
"Que signifie l'acronyme CHS-CT et quel est le rôle de ce comité ?","Comité d’Hygiène, de Sécurité et des Conditions de Travail. Son rôle est de participer au management des risques."
"Comment la SAR se prépare-t-elle à gérer les situations d'urgence ?","Grâce à un Plan d’Opération Interne (POI) et à l'organisation régulière d'exercices de simulation."
"Quels types de risques sont simulés lors des exercices de sécurité à la SAR ?","Les incendies, la pollution marine, la pollution terrestre et les menaces liées à la sûreté (actes de malveillance)."
"Qu'est-ce que le Système de Management Intégré (SMI) de la SAR ?","Un référentiel unique qui combine les exigences des normes ISO 9001 (Qualité), 14001 (Environnement) et 45001 (Santé et Sécurité)."
"Quel est l'objectif global de la démarche QHSE (Qualité, Hygiène, Sécurité, Environnement) de la SAR ?","Satisfaire les clients tout en maîtrisant les risques professionnels pour le personnel et les impacts sur l'environnement."
"Pourquoi l'approche par les risques est-elle au cœur du management de la SAR ?","Pour assurer une exploitation sécurisée des installations et prévenir activement les accidents."
"Comment la SAR garantit-elle la conformité légale et réglementaire de ses activités ?","Par une veille réglementaire constante et l'application stricte des dispositions légales dans ses procédures."
"Quel engagement la SAR prend-elle envers son personnel en matière de sécurité ?","Améliorer constamment les conditions de travail et renforcer la culture de la sécurité à tous les niveaux."
"Quel est le rôle de la Direction de l'Audit et du Contrôle (DAC) au sein de la SAR ?","Évaluer et améliorer l'efficacité des processus de management des risques, de contrôle et de gouvernance."
"Par quels moyens la SAR communique-t-elle sur ses performances QHSE ?","Par le suivi d'indicateurs de performance et la communication transparente des résultats aux parties intéressées."
"Quel est le principal objectif de la certification ISO 9001 pour la SAR ?","Démontrer sa capacité à fournir de manière constante des produits conformes aux exigences des clients et à la réglementation."
"Qu'apporte la certification ISO 14001 à la SAR en matière environnementale ?","Elle atteste de la maîtrise de ses impacts environnementaux et de son engagement à améliorer sa performance écologique."
"Que garantit la certification ISO 45001 obtenue par la SAR ?","La mise en place d'un management efficace pour la santé et la sécurité au travail."
"Quel est l'engagement de la Direction générale dans la politique QHSE de l'entreprise ?","Fournir les ressources nécessaires et veiller personnellement à l'atteinte des objectifs fixés."
"Comment le laboratoire contribue-t-il au système de management de la qualité de la SAR ?","Il garantit la conformité des produits grâce à des analyses fiables, en s'appuyant sur les exigences de la norme ISO 17025."
"Quels sont les trois axes principaux de la politique QHSE de la SAR ?","La conformité légale et réglementaire, l'amélioration continue, et la satisfaction des parties intéressées."
"Quelle action sociale la SAR a-t-elle menée en octobre 2024 pour soutenir la lutte contre les inondations ?","Elle a fait un don de carburant et de motopompes de grande capacité (300 m³/h) avec leurs accessoires."
"Qui a été nommé Président du Conseil d’administration de la SAR en août 2024 ?","Papa Moctar Sarr, un ingénieur centralien avec un parcours reconnu dans le secteur pétrolier."
"Quel type d'audit une commission interministérielle a-t-elle mené à la SAR en août 2024 ?","Un audit sécuritaire de ses installations classées, qui était piloté par la Direction de la protection civile."
"Quelle institution sénégalaise a renforcé sa collaboration avec la SAR en juin 2024 ?","La Direction générale des Douanes, notamment dans le cadre des importations et de la coopération opérationnelle."
"Qui a été nommé Directeur général de la SAR en mai 2024 ?","Mamadou Abib Diop, un ingénieur en génie des procédés, qui a été nommé par le décret n° 2024-1020."
"Comment le pétrole brut est-il transporté des navires jusqu'à la raffinerie de la SAR ?","Il est acheminé via deux conduites sous-marines (sea-lines) de 3,5 km chacune."
"Quelle est la capacité totale de stockage de pétrole brut dont dispose la SAR ?","La SAR a une capacité de stockage de 330 000 m³ pour le pétrole brut."
"Quelles sont les trois unités principales qui composent le schéma de raffinage de la SAR, connu sous le nom de ""topping reformage"" ?","Ce processus inclut une distillation atmosphérique, une distillation sous vide et une unité de reformage catalytique."
"Quelles sont les trois missions principales du Laboratoire de Contrôle Qualité de la SAR ?","Il assure la vérification de la qualité des matières premières, le suivi du processus de fabrication et le contrôle des produits finis."
"Qu'est-ce que le soutage, l'une des activités commerciales de la SAR au port de Dakar ?","C'est l'approvisionnement des navires en combustibles de soute, comme le fuel oil et le diesel oil."
"Par quels moyens les produits pétroliers finis sont-ils expédiés depuis la raffinerie ?","Ils sont expédiés par voie terrestre (camions-citernes), par voie maritime (caboteurs) et via des pipelines."
"Quelle est la fonction du wharf opéré par la SAR ?","Le wharf permet le chargement des navires caboteurs qui approvisionnent les dépôts pétroliers côtiers."
"Quelle est la longueur du pipeline qui relie la raffinerie de la SAR aux dépôts de Bel-Air ?","Ce pipeline mesure 7 km de long."
"Quel pays est le principal fournisseur de pétrole brut pour la SAR ?","Le Nigéria est la principale source d'approvisionnement en pétrole brut de la raffinerie."
"Outre le marché sénégalais, vers quels autres pays la SAR exporte-t-elle ses produits ?","La SAR exporte une partie de sa production vers les pays de la sous-région, principalement le Mali."
"Qu'est-ce que la ""Tour de Contrôle"" au sein de la raffinerie de la SAR ?","C'est la salle de commande centrale depuis laquelle les opérateurs supervisent et contrôlent l'ensemble du processus de raffinage."
"Quel produit représente le volume le plus important de la production de la SAR ?","Le gasoil constitue la plus grande part de la production de la raffinerie."
"À quelle fréquence la SAR organise-t-elle des ""grands arrêts"" pour la maintenance lourde de ses installations ?","Ces arrêts programmés pour une maintenance majeure ont lieu tous les 4 à 5 ans."
"Quel est le défi logistique majeur pour la SAR ?","Assurer un flux continu et sécurisé du pétrole brut depuis les navires et des produits finis vers les clients."
"Quel est le niveau d'automatisation des unités de production de la SAR ?","Les unités sont hautement automatisées et pilotées par des systèmes de contrôle numérique avancés."
"Quelle est la procédure d'urgence en cas de détection d'une fuite de produit ?","Une alerte est immédiatement déclenchée, l'unité concernée est isolée et les équipes d'intervention sont déployées sur-le-champ."
